id,word_count,contype_count,total_think,total_time,action_count,total_actiontime,keyboard_count,media_count,other_count,unknown_count,dc0,dc1,dc2,dc3,dc4,dc5,dc6,dc7,dc8,dc9,md0,md1,md2,md3,md4,ml0,ml1,ml2,ml3,ml4,pl0,pl1,pl2,pl3,pl4,rl0,rl1,rl2,rl3,rl4,rc0,rc1,rc2,rc3,rc4,ac0,ac1,ac2,ac3,ac4,ac5,consecutive_input_count,consecutive_input_max,consecutive_input_mean,consecutive_input_mid,consecutive_input_var
001519c8,255,901,1531192.0,1797443,2557,297243,901,0,0,37,2056,16,7,11,13,419,15,6,5,9,2554,3,0,0,0,2556,1,0,0,0,2557,0,0,0,0,2550,5,2,0,0,2557,0,0,0,0,120,2010,417,0,7,3,124,81,15.096,9.0,308.966784
0022f953,320,616,1502350.0,1758346,2454,275391,911,0,0,53,2084,2,5,3,29,311,1,3,0,16,2454,0,0,0,0,2454,0,0,0,0,2453,1,0,0,0,2453,1,0,0,0,2454,0,0,0,0,254,1938,260,1,1,0,122,90,14.772357723577235,7.0,347.0538700508956
0042269b,404,2188,1418539.0,1767228,4136,421201,1183,0,0,49,3621,0,2,6,24,438,2,6,8,29,4136,0,0,0,0,4136,0,0,0,0,4136,0,0,0,0,4129,1,1,5,0,4133,0,2,0,1,175,3515,439,0,7,0,149,118,22.446666666666665,16.5,528.2204888888889
0059420b,206,206,1183046.0,1363074,1556,189596,491,0,0,21,1388,3,2,2,1,151,2,2,2,3,1556,0,0,0,0,1556,0,0,0,0,1555,0,1,0,0,1555,0,1,0,0,1556,0,0,0,0,99,1304,151,1,1,0,79,71,15.3125,10.0,251.83984375
0075873a,252,1042,1297666.0,1584002,2531,313702,923,0,0,67,1984,0,5,5,8,518,0,1,2,8,2531,0,0,0,0,2531,0,0,0,0,2531,0,0,0,0,2531,0,0,0,0,2531,0,0,0,0,72,1942,517,0,0,0,82,127,22.40963855421687,15.0,684.675569748875
0081af50,275,224,1561037.0,1736280,2211,179985,744,0,0,16,1838,5,7,1,8,340,4,0,0,8,2211,0,0,0,0,2211,0,0,0,0,2211,0,0,0,0,2209,2,0,0,0,2210,1,0,0,0,76,1794,338,0,3,0,138,86,11.913669064748202,7.0,178.64002898400702
0093f095,241,480,1581005.0,1761625,1765,193652,443,0,0,26,1606,1,0,1,4,148,0,0,0,5,1765,0,0,0,0,1765,0,0,0,0,1765,0,0,0,0,1765,0,0,0,0,1765,0,0,0,0,34,1583,148,0,0,0,81,93,18.329268292682926,8.0,567.6842653182629
009e23ab,307,545,1492563.0,1692754,2353,213548,752,0,0,41,2085,2,0,6,20,220,1,0,2,17,2353,0,0,0,0,2353,0,0,0,0,2353,0,0,0,0,2353,0,0,0,0,2353,0,0,0,0,155,1975,222,0,1,0,93,139,20.03191489361702,9.0,649.9032367587145
00e048f1,223,24,1673375.0,1792225,1585,118893,409,0,0,28,1460,0,1,0,2,119,0,1,0,2,1585,0,0,0,0,1585,0,0,0,0,1585,0,0,0,0,1585,0,0,0,0,1585,0,0,0,0,41,1426,118,0,0,0,63,109,21.3125,16.0,398.05859375
00e1f05a,739,2149,1187053.0,1842966,7826,730504,2761,0,0,116,6339,2,0,1,13,1443,8,0,6,14,7826,0,0,0,0,7826,0,0,0,0,7826,0,0,0,0,7819,4,0,1,1,7817,4,0,4,1,228,6145,1446,0,7,0,347,139,16.663793103448278,11.0,401.74041319857315
00e713bd,574,840,1339791.0,1748291,4565,430511,1290,0,0,63,4018,3,0,2,3,531,1,1,2,4,4565,0,0,0,0,4565,0,0,0,0,4565,0,0,0,0,4563,1,1,0,0,4565,0,0,0,0,87,3946,530,0,2,0,158,175,23.830188679245282,19.0,629.0214785807524
00f0737e,251,222,1473654.0,1780787,2416,316876,934,0,0,36,2070,6,4,7,11,295,4,3,6,10,2416,0,0,0,0,2416,0,0,0,0,2416,0,0,0,0,2415,1,0,0,0,2416,0,0,0,0,398,1780,237,0,1,0,134,74,12.192592592592593,7.0,192.05179698216736
00f8e84c,573,25,1463070.0,1769301,3721,306724,1133,0,0,59,3637,4,2,2,5,62,0,1,2,6,3721,0,0,0,0,3721,0,0,0,0,3721,0,0,0,0,3721,0,0,0,0,3721,0,0,0,0,477,3182,62,0,0,0,54,299,56.872727272727275,38.0,4733.092892561984
00fc9a6a,244,906,1329458.0,1582593,2701,301886,1001,4,0,96,2108,3,7,9,16,534,4,4,5,11,2701,0,0,0,0,2701,0,0,0,0,2699,0,1,1,0,2701,0,0,0,0,2697,1,1,2,0,136,2029,534,2,0,0,169,107,10.941176470588236,4.0,323.94948096885815
0144e4d5,234,254,1564061.0,1748118,2117,184187,939,1,0,62,1854,5,30,10,6,144,6,34,13,15,2117,0,0,0,0,2117,0,0,0,0,2117,0,0,0,0,2117,0,0,0,0,2117,0,0,0,0,319,1690,108,0,0,0,117,105,13.338983050847459,1.5,474.4274633725941
014e7ae9,449,2172,1453320.0,1815101,3919,486158,1197,0,0,77,3336,3,1,10,16,527,10,2,5,9,3919,0,0,0,0,3919,0,0,0,0,3918,0,0,1,0,3909,8,1,1,0,3917,0,1,1,0,90,3289,529,1,10,0,171,94,18.127906976744185,13.0,347.44875608436996
015aa732,398,1107,1463131.0,1740219,3171,305997,834,0,0,63,2890,2,1,3,4,253,5,4,3,6,3171,0,0,0,0,3171,0,0,0,0,3171,0,0,0,0,3165,3,3,0,0,3166,1,1,2,1,59,2848,258,0,6,0,123,128,21.983870967741936,15.5,470.95135275754416
0178a105,272,1197,1310494.0,1753635,3446,468111,1441,2,0,49,2511,8,9,7,4,880,4,8,9,6,3446,0,0,0,0,3446,0,0,0,0,3445,0,0,1,0,3443,1,2,0,0,3445,0,0,1,0,120,2444,878,1,3,0,159,67,14.2875,11.0,199.66734375
0182aa1c,406,308,1431243.0,1726102,3126,300153,936,0,0,41,2731,3,1,2,9,363,2,4,4,7,3126,0,0,0,0,3126,0,0,0,0,3126,0,0,0,0,3125,0,1,0,0,3124,1,1,0,0,80,2681,364,0,1,0,126,97,20.125984251968504,14.0,424.2046004092007
0190ff4c,299,33,1432277.0,1620250,1922,189082,496,0,0,29,1787,0,2,4,3,118,0,1,4,3,1922,0,0,0,0,1922,0,0,0,0,1922,0,0,0,0,1922,0,0,0,0,1922,0,0,0,0,46,1758,118,0,0,0,69,92,24.142857142857142,12.5,725.8653061224489
01963e20,413,2647,1414844.0,1795223,5016,473252,1830,0,0,72,3969,14,14,6,7,976,9,7,5,9,5016,0,0,0,0,5016,0,0,0,0,5016,0,0,0,0,5010,2,4,0,0,5012,2,1,1,0,120,3815,1075,0,6,0,262,73,13.513307984790874,9.0,188.85058335381459
019737b6,632,1830,1365405.0,1792288,5526,480192,2142,2,0,73,5024,2,1,2,18,455,2,0,4,18,5526,0,0,0,0,5526,0,0,0,0,5526,0,0,0,0,5524,1,0,1,0,5525,0,0,1,0,1011,4095,418,0,2,0,146,153,26.87074829931973,15.0,879.4458790318848
01992d32,537,1575,1287924.0,1730889,3756,508095,1007,0,0,65,3414,0,1,5,8,313,2,2,5,6,3756,0,0,0,0,3756,0,0,0,0,3756,0,0,0,0,3751,1,1,3,0,3756,0,0,0,0,64,3374,312,0,6,0,131,111,24.575757575757574,20.5,526.001836547291
01c359fc,430,1030,1424104.0,1746405,2934,370964,908,0,0,70,2600,5,2,20,19,280,0,0,0,8,2934,0,0,0,0,2934,0,0,0,0,2934,0,0,0,0,2934,0,0,0,0,2934,0,0,0,0,155,2528,251,0,0,0,113,97,21.19298245614035,14.0,485.47152970144657
01d0ba4b,229,26,1239007.0,1275080,1639,36073,374,0,0,24,1525,0,0,0,0,113,0,0,0,1,1639,0,0,0,0,1639,0,0,0,0,1639,0,0,0,0,1639,0,0,0,0,1639,0,0,0,0,6,1520,113,0,0,0,44,142,32.8,23.0,996.7377777777779
01d602a7,487,1573,1428671.0,1886747,3573,519545,983,0,0,73,3204,4,1,1,0,358,1,2,1,1,3573,0,0,0,0,3573,0,0,0,0,3573,0,0,0,0,3573,0,0,0,0,3573,0,0,0,0,73,3142,358,0,0,0,124,114,24.144,15.0,728.635264
0249a095,500,3780,1376339.0,1769361,5394,496441,2815,0,0,51,4666,0,2,1,20,693,0,1,1,10,5394,0,0,0,0,5394,0,0,0,0,5394,0,0,0,0,5393,0,1,0,0,5394,0,0,0,0,1826,3178,389,0,1,0,148,124,20.34228187919463,13.0,485.7016350614837
0262bf61,447,580,1448527.0,1791449,4442,349819,1702,0,0,75,3745,3,3,2,15,658,1,1,0,14,4442,0,0,0,0,4442,0,0,0,0,4442,0,0,0,0,4442,0,0,0,0,4441,1,0,0,0,499,3284,659,0,0,0,251,119,12.03968253968254,8.0,186.68096497858406
026be946,712,409,1403927.0,1788712,4338,393736,1073,0,0,76,4112,2,1,11,27,149,3,0,6,27,4338,0,0,0,0,4338,0,0,0,0,4338,0,0,0,0,4337,1,0,0,0,4338,0,0,0,0,195,4005,137,0,1,0,123,164,31.306451612903224,16.5,1297.2286680541101
0294b4f5,205,22,1565541.0,1679293,1887,113818,522,0,0,28,1649,0,1,1,6,219,3,1,3,4,1887,0,0,0,0,1887,0,0,0,0,1887,0,0,0,0,1887,0,0,0,0,1887,0,0,0,0,61,1607,219,0,0,0,63,138,24.140625,12.5,844.777099609375
02a41d1a,255,841,1392888.0,1767886,2628,409673,904,0,0,46,2277,3,12,6,4,306,3,6,4,7,2628,0,0,0,0,2628,0,0,0,0,2628,0,0,0,0,2625,2,0,0,1,2628,0,0,0,0,121,2090,414,0,3,0,140,75,13.836879432624114,10.0,236.4769377797897
02cf6a52,282,762,1091605.0,1323052,2050,266457,549,0,0,42,1866,1,1,3,2,170,2,0,1,4,2050,0,0,0,0,2050,0,0,0,0,2050,0,0,0,0,2049,1,0,0,0,2050,0,0,0,0,43,1822,183,0,2,0,81,111,21.23170731707317,16.0,528.3243604997025
02d3c9fc,283,1212,1418485.0,1769434,3626,391210,1590,0,0,52,2992,32,13,8,26,493,21,9,7,25,3626,0,0,0,0,3626,0,0,0,0,3625,0,1,0,0,3618,7,0,1,0,3620,4,2,0,0,692,2427,498,1,8,0,139,105,16.35,8.0,428.7275
